Measurement Start Date/Time,Measurement End Date/Time,Dose Equivalent Rate(nSv/h)
18/01/2019 08:32,18/01/2019 09:32,68
18/01/2019 09:33,18/01/2019 10:33,63
18/01/2019 10:33,18/01/2019 11:09,63
18/01/2019 11:16,18/01/2019 12:16,63
18/01/2019 12:16,18/01/2019 13:16,62
18/01/2019 13:16,18/01/2019 14:16,60
18/01/2019 14:16,18/01/2019 15:17,59
18/01/2019 15:17,18/01/2019 16:17,60
18/01/2019 17:17,18/01/2019 18:17,62
18/01/2019 19:18,18/01/2019 20:18,59
18/01/2019 20:18,18/01/2019 21:18,56
18/01/2019 21:18,18/01/2019 22:18,55
18/01/2019 22:18,18/01/2019 23:18,60
18/01/2019 23:19,19/01/2019 00:19,60
19/01/2019 00:19,19/01/2019 01:19,60
19/01/2019 01:19,19/01/2019 02:19,57
19/01/2019 02:19,19/01/2019 03:19,62
19/01/2019 03:20,19/01/2019 04:20,61
19/01/2019 04:20,19/01/2019 05:20,59
19/01/2019 05:20,19/01/2019 06:20,59
19/01/2019 06:20,19/01/2019 07:20,61
19/01/2019 07:20,19/01/2019 08:21,59
19/01/2019 08:21,19/01/2019 09:21,64
19/01/2019 09:21,19/01/2019 10:21,60
19/01/2019 10:21,19/01/2019 11:21,59
19/01/2019 11:21,19/01/2019 12:22,62
19/01/2019 12:22,19/01/2019 13:22,61
19/01/2019 13:22,19/01/2019 14:22,63
19/01/2019 14:22,19/01/2019 15:22,62
19/01/2019 15:22,19/01/2019 16:22,62
19/01/2019 16:23,19/01/2019 17:23,59
19/01/2019 17:23,19/01/2019 18:23,60
19/01/2019 18:23,19/01/2019 19:23,62
19/01/2019 19:23,19/01/2019 20:23,61
19/01/2019 20:23,19/01/2019 21:24,61
19/01/2019 21:24,19/01/2019 22:24,60
19/01/2019 22:24,19/01/2019 23:24,67
19/01/2019 23:24,20/01/2019 00:24,68
20/01/2019 00:24,20/01/2019 01:25,
20/01/2019 01:25,20/01/2019 02:25,
20/01/2019 02:25,20/01/2019 03:25,
20/01/2019 03:25,20/01/2019 04:25,
20/01/2019 04:25,20/01/2019 05:25,
20/01/2019 05:26,20/01/2019 06:26,
20/01/2019 06:26,20/01/2019 07:26,
20/01/2019 07:26,20/01/2019 08:26,72
20/01/2019 08:26,20/01/2019 09:26,59
20/01/2019 09:26,20/01/2019 10:27,60
20/01/2019 10:27,20/01/2019 11:27,62
20/01/2019 11:27,20/01/2019 12:27,60
20/01/2019 12:27,20/01/2019 13:27,63
20/01/2019 13:27,20/01/2019 14:28,69
20/01/2019 14:28,20/01/2019 15:28,62
20/01/2019 15:28,20/01/2019 16:28,65
20/01/2019 16:28,20/01/2019 17:28,61
20/01/2019 17:28,20/01/2019 18:28,66
20/01/2019 18:29,20/01/2019 19:29,63
20/01/2019 19:29,20/01/2019 20:29,59
20/01/2019 20:29,20/01/2019 21:29,60
20/01/2019 21:29,20/01/2019 22:29,63
20/01/2019 22:29,20/01/2019 23:30,66
20/01/2019 23:30,21/01/2019 00:30,68
21/01/2019 00:30,21/01/2019 01:30,69
21/01/2019 01:30,21/01/2019 02:30,
21/01/2019 02:30,21/01/2019 03:31,72
21/01/2019 03:31,21/01/2019 04:31,
21/01/2019 04:31,21/01/2019 05:31,
21/01/2019 05:31,21/01/2019 06:31,
21/01/2019 06:31,21/01/2019 07:31,
21/01/2019 07:32,21/01/2019 08:32,
21/01/2019 08:32,21/01/2019 09:32,
21/01/2019 09:32,21/01/2019 10:32,
21/01/2019 10:32,21/01/2019 11:32,
21/01/2019 11:32,21/01/2019 12:33,
21/01/2019 12:33,21/01/2019 13:33,
21/01/2019 13:33,21/01/2019 14:33,
21/01/2019 14:33,21/01/2019 15:33,
21/01/2019 15:33,21/01/2019 16:34,71
21/01/2019 16:34,21/01/2019 17:34,
21/01/2019 17:34,21/01/2019 18:34,70
21/01/2019 18:34,21/01/2019 19:34,
21/01/2019 19:34,21/01/2019 20:34,65
21/01/2019 20:35,21/01/2019 21:35,69
21/01/2019 21:35,21/01/2019 22:35,70
21/01/2019 22:35,21/01/2019 23:35,70
21/01/2019 23:35,22/01/2019 00:35,
22/01/2019 00:35,22/01/2019 01:36,
22/01/2019 01:36,22/01/2019 02:36,
22/01/2019 02:36,22/01/2019 03:36,
22/01/2019 03:36,22/01/2019 04:36,
22/01/2019 04:36,22/01/2019 05:37,72
22/01/2019 05:37,22/01/2019 06:37,
22/01/2019 06:37,22/01/2019 07:37,
22/01/2019 07:37,22/01/2019 08:37,
22/01/2019 08:37,22/01/2019 09:37,
22/01/2019 09:38,22/01/2019 10:38,
22/01/2019 10:38,22/01/2019 11:09,
22/01/2019 11:16,22/01/2019 12:16,
22/01/2019 12:16,22/01/2019 13:16,
22/01/2019 13:16,22/01/2019 14:16,71
22/01/2019 14:16,22/01/2019 15:16,62
22/01/2019 15:17,22/01/2019 16:17,63
22/01/2019 16:17,22/01/2019 17:17,61
22/01/2019 17:17,22/01/2019 18:17,64
22/01/2019 18:17,22/01/2019 19:17,59
22/01/2019 19:17,22/01/2019 20:18,61
22/01/2019 20:18,22/01/2019 21:18,57
22/01/2019 21:18,22/01/2019 22:18,61
22/01/2019 22:18,22/01/2019 23:18,60
22/01/2019 23:18,23/01/2019 00:19,63
23/01/2019 00:19,23/01/2019 01:19,62
23/01/2019 01:19,23/01/2019 02:19,65
23/01/2019 02:19,23/01/2019 03:19,61
23/01/2019 03:19,23/01/2019 04:19,64
23/01/2019 04:20,23/01/2019 05:20,65
23/01/2019 05:20,23/01/2019 06:20,65
23/01/2019 06:20,23/01/2019 07:20,62
23/01/2019 07:20,23/01/2019 08:20,64
23/01/2019 08:20,23/01/2019 09:21,65
23/01/2019 09:21,23/01/2019 10:21,61
